Duration (in seconds),ResponseId,UserLanguage,Age,Gender,Education,Country-Birth,Race,Race_4_TEXT,Country-Residence,Native English,Other languages,Other languages 2
1149,R_2Y5qEF7tp48wAsz,EN,22,Female,GCE 'A' Levels,Malaysia,Chinese,,Singapore,No,Chinese,
1217,R_ZxHvGVSFQkHW12x,EN,21,Female,GCE 'A' Levels,Malaysia,Chinese,,Singapore,No,"Chinese,Malay",
608,R_24GK3WyC2uUkmcy,EN,23,Female,Bachelors Degree,Singapore,Chinese,,Singapore,Yes,Chinese,
328,R_rfMSH33zzssSGJz,EN,22,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
766,R_3dFjDtbmlkbliqB,EN,20,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
1254,R_1ie7PwepHrmXeWA,EN,20,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,"Chinese,Malay",
1156,R_2PBUUPQHmlCRaC1,EN,21,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
981,R_20PbXk6PqJ4ndhe,EN,22,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
610,R_27wFPSV2YsqgoJn,EN,22,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
1080,R_XoXn0FfQe9naAGR,EN,24,Male,GCE 'N'/'O' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
3709,R_3KAA7RdOeMUmp6w,EN,24,Male,Bachelors Degree,Indonesia,Chinese,,Singapore,Yes,Bahasa Indonesia,
1494,R_BwV6w1LbkJ3vIM9,EN,23,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,"Chinese,Japanese,Other",Cantonese
804,R_31tTgKqMDVbGn3d,EN,21,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
782,R_3p3Y79TzzzXN7u5,EN,21,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
495,R_2wpdYzufcYlzcIj,EN,21,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
837,R_1FnWJF5jpbRJq8w,EN,22,Female,GCE 'A' Levels,China,Chinese,,Singapore,Yes,Chinese,
733,R_OcAD003BmsylI3v,EN,22,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
2672,R_1jPUKfsYZHeFgfb,EN,21,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
6149,R_3rU59TKVjfTRNgc,EN,47,Female,Master's Degree,Singapore,Chinese,,Singapore,Yes,"Chinese,Other",Cantonese
1348,R_3pr0jSNCzk1giRb,EN,21,Male,Bachelors Degree,Singapore,Chinese,,Singapore,Yes,"Chinese,Japanese",
869,R_12GrpdlOpWLYxnl,EN,24,Female,Bachelors Degree,Singapore,Chinese,,Singapore,Yes,Chinese,
694,R_3EumZHt85Aq79y6,EN,21,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
161,R_2qqRxG0wVMLcwIq,EN,22,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
531,R_3Mo1ZM6WNiSKxrc,EN,22,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
1672,R_25RUDNkmC8yn2Qv,EN,21,Female,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,,
837,R_2q7WvFh5Wvdsoqk,EN,21,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
947,R_1o15AGn3YjuLt5P,EN,20,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
1526,R_u9NcUWg5q57E0Vz,EN,21,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
135,R_2uKepc8XPivAicX,EN,22,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
552,R_3CWxJvtPrfgXVE7,EN,23,Female,Bachelors Degree,Singapore,Chinese,,Singapore,Yes,"Chinese,Spanish,Japanese",
564,R_paR0ayt0mTsxYOt,EN,20,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
472,R_3McKlosK4ey19RY,EN,21,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
1821,R_VJ6fi5j2c5o8kPT,EN,21,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
344,R_A5qwRARXyafF4VH,EN,19,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,"Chinese,French,German,Bahasa Indonesia",
676,R_tSxH51drBo5NFWV,EN,22,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
449,R_2i4OkEY5PezX721,EN,21,Female,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,"Chinese,Korean",
1397,R_3oAVU4LKZWfEdfJ,EN,24,Male,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,Chinese,
856,R_SVpnDS9BjGsD9QJ,EN,21,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
1160,R_3HO1zcOGELQz9PT,EN,20,3,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
706,R_2z7sWq1BKAdgUkP,EN,22,Female,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,Chinese,
1090,R_28NvqXfXwjB0WUS,EN,24,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
1752,R_3DtDWj03qRi8adB,EN,21,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,"Chinese,French,Spanish",
1274,R_3kMLwuAiodMebD4,EN,22,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
735,R_wUdPvK21FLxkLXr,EN,22,Female,Bachelors Degree,Singapore,Chinese,,Singapore,Yes,Chinese,
522,R_1P1XTNt8BBqiJzn,EN,24,Male,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,"Chinese,French,Japanese",
467,R_xz44i2NoeDAbrep,EN,22,Male,GCE 'A' Levels,China,Chinese,,Singapore,Yes,"Chinese,Japanese",
1407,R_1Ejwzm5oGHdhHPb,EN,22,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
575,R_W2nG5nAG5CDw2XL,EN,22,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
1864,R_31Mmi3TloEhpPuB,EN,23,Male,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,Chinese,
831,R_1Km7VjPbHwp5qA4,EN,25,Male,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,Chinese,
725,R_UG802yEVcc17BoR,EN,23,Male,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,Chinese,
4173,R_2ARVn3JN4ebCZUw,EN,22,Female,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,"Chinese,Japanese",
552,R_2qDfC5bLumq9dYc,EN,22,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
885,R_27NBD1FRiO1qu9t,EN,23,Male,GCE 'A' Levels,Singapore,Malay,,Singapore,Yes,"Chinese,Malay",
