,cue,definition
1,4D,a local 4-digit lottery game
2,5Cs,"the 5Cs of Singapore (traditionally cash, car, credit card, condominium, country club membership)"
3,11B,refers to the identity card held by national servicemen
4,abit,a bit
5,abuden,"obviously, duh"
6,ACBC,"acronym for ""act cute buay (not) cute""; behaving in a cutesy manner but instead coming off as annoying"
7,act blur,feigning ignorance
8,act cute,behaving cutely
9,action,behaving arrogantly or ostentatiously
10,agak agak,to estimate or approximate
11,agar-ration,an estimation or approximation
12,Ah Beng,a male gangster or hillbilly
13,Ah Seng,"a male gangster, typically Ah Beng's sidekick"
14,ah,sentence-final particle for exclamation or emphasis
15,ah gua,an effeminate male or transvestite
16,Ah Lian,female form of Ah Beng
17,Ah Huay,female form of Ah Seng
18,Ah Long,a loan shark
19,ah neh,"a shortened form of ""ah pu neh neh"""
20,ah pu neh neh,a racial slur for Indians
21,ah tiong,a term for Chinese nationals
22,ai see,"lit. 'want to die' in Hokkien, used to describe someone on thin ice"
23,ai see buay see,same as 'ai see'
24,ai swee mai m'niah,"lit. 'love beauty until death', describing someone excessively vain"
25,ai sui,"lit. 'love beauty', describing someone beauty conscious"
26,ai tzai,"lit. 'must be firm/calm/solid', used to tell people to calm down"
27,aiyah,oh no/oh dear
28,aiyoyo,more extreme form of 'aiyah'
29,akan datang,"lit. 'coming soon' in Malay, used to reassure an impatient person"
30,alamak,"""oh no!"", used to express shock, surprise, or dismay"
31,amacam,"A contraction of the Malay word 'Apa macam', which is used as a greeting, similar to ""What's up?"""
32,ang pow,red packet
33,an zhua?,what's up?
34,ar,sentence-final particle for confirmation
35,ar bo,"""what else""/""how else"""
36,atas,"high-class, fancy, or well-to-do"
37,ayam,"chicken, used to describe someone easily intimidated"
38,balik kampong,"lit. ""to go home"" in Malay, describing returning to one's hometown (literal meaning) or giving up (figuratively)"
39,bak kwa,Chinese sweet and salty meat jerky
40,bao toh,"to backstab, betray, or sell someone out"
41,barang barang,"personal belongings, things"
42,berak,(from Malay) to defecate
43,belanja,(from Malay) to treat or pay for someone (e.g. for a meal)
44,bodoh,(from Malay) idiot
45,bo beh zao,"lit. ""no horse run"", describing something much better than its alternatives"
46,bo pian,"""no choice""/""there is no other way"""
47,bo chap,to not care
48,bo eng,"to not be free, to have no time"
49,bo geh,"lit. ""no teeth"", to describe someone with missing teeth"
50,bo jio,"to not invite, usually used to confront someone about not being invited to an event"
51,bo liao,to be idle
52,bo ta bo lan pa,"""if you don't drink, you have no balls"", similar to ""bottoms up"""
53,bo tao boh beh,"lit. ""no head no tail"", used to describe an incoherent story"
54,bo zheng hu,"lit. ""no government"", used to describe a state of anarchy or chaos"
55,boleh,"(from Malay) ""can"" or possible"
56,botak,to be bald
57,buay,cannot
58,buaya,"lit. ""crocodile"" in Malay, refers to a womanizer or flirt"
59,buay pai,"""not bad"""
60,buay song,"""not happy"""
61,buay gan,useless
62,buay steady,"""not steady"""
63,buay tahan,"""cannot tolerate"", ""cannot endure"""
64,catch no ball,to be unable to understand 
65,cert,"shortened form of ""certificate"" or ""certifications"""
66,chao,"lit. ""smelly"" or ""stinky"", used to describe foul smells (literal) or foul play (figurative). A perjorative."
67,chao geng,"to feign sickness or injury, malingering"
68,chao mugger,"""damn mugger"""
69,chap lau chu,(From Hokkien)?A colloquial term to describe 10-storey flats.
70,zha bor,"girl, woman, or girlfriend"
71,chee bai,"a swear word meaning ""cunt"""
72,chee ko pek,"slang for ""pervert"" or ""dirty old man"""
73,cheena,slur used to denote Chinese people exhibiting very unpolished behaviour or mannerisms
74,'cher,"shortened form of ""teacher"""
75,chicken business,prostitution 
76,cheem,"complicated, profound, or hard to understand"
77,chim,"another form of ""cheem"""
78,chin chai,"""anything is fine"", or to do something in a half-hearted manner"
79,chio bu,cute girl
80,chiong,to rush or charge
81,chiong sua,"to rush/charge up a hill, a more exaggerated form of ""chiong"""
82,chop,a stamp or seal
83,chop chop,used to tell someone to hurry or do something fast
84,chiu kana kah,"lit ""hands like feet"", used to describe someone clumsy"
85,chope,"to reserve something, usually a seat"
86,cmi,"an acronym for ""cannot make it"""
87,cockanaathan,"(from Tamil) emphatic term for ""useless"" or ""stupid"""
88,corright,"corruption of ""correct"" and ""right"", used to confirm something is correct and right"
89,da bao,takeaway (food)
90,damn,(from English) very
91,dey,"(from Tamil) ""Hey!"""
92,don't play play,used to tell someone to be serious or not fool around
93,du lan,to be pissed or angry
94,dunnid,"corruption of ""don't need"""
95,double confirm,to confirm and reconfirm
96,echerley,"corruption of ""actually"""
97,eeyer,expression of disgust
98,encik,"lit. ""Mister"" in Malay, but also used to address male warrant officers in the Singapore Armed Forces"
99,eye power,to describe someone who only watches and does not contribute to group efforts
100,gabra,"from Malay, used to describe confusion"
101,gahmen,"Mispronunciation of ""government"""
102,garang,"lit. ""fierce"" in Malay, used to describe someone courageous or enthusiastic"
103,geh geh,"from Hokkien, used to describe someone faking or hypocritical"
104,geh kiang,"lit. ""fake smart"" in Hokkien, used to describe someone who pretends to know what they are doing"
105,get,to be cheeky
106,gone-case,to be doomed
107,goondu,idiot
108,gor chiam tua guay gu chia leng,"From Hokkien lit. 'five cents coin bigger than cart wheel', to think that one's money can go further than it can actually afford"
109,gostan,to reverse or go backwards
110,guai lan,to be arrogant
111,handphone,mobile phone
112,hao lian,to be boastful
113,heng,to be lucky or fortunate
114,helication,"corruption of ""education"""
115,horlan,"corruption of ""Holland"", used to describe oneself being lost"
116,ho liao,"lit. ""good stuff"" in Hokkien"
117,hong bao,red packet
118,hong gan,to be screwed
119,ho seh,good
120,huat,to prosper
121,hum ji,to be cowardly
122,ini macam,"(from Malay) ""like this"""
123,jelak,"(from Malay) refers to being overly satiated by food to the point of repulsion, particularly in the case of rich food"
124,jiak,to eat (Hokkien)
125,jiak chao,"lit. ""eat grass"" (Hokkien), to have no money or be broke "
126,jiak zua,"lit. ""eat snake"", referring to a person that slacks while on duty"
127,jiak kantang,"lit. ""eat potato"", referring to an excessively Westernized individual"
128,jia lat,to describe being in trouble or being in a bind
129,jio,to invite or ask someone out
130,kae ang moh,"lit. ""fake red hair"", used to describe someone who tries to act like a Westerner"
131,kah kenna chiu,"lit. ""hands like feet, feet like hands"", used to describe a clumsy person"
132,kampung,"(from Malay) village, figuratively used to describe one's hometown"
133,kar chng,buttocks
134,kar pak,carpark
135,kaypoh,a busybody
136,kayu,"(from Malay) used to describe a biased referee with accusations of match-fixing (""referee kayu"")"
137,kee siao,to go mad
138,keling kia,(From Hokkien) a slur for Tamil Indians 
139,kena,to be afflicted or to suffer from something
140,kena sai,to get into deep trouble
141,kenz,"short form of ""kena"""
142,ki chia,to die
143,kiam,"lit. ""salty"" (Hokkien), used to describe someone stingy or frugal"
144,kiam pa,"lit. ""to owe a beat"" (Hokkien), used to describe someone punchable"
145,kiasi,"lit. ""to be scared to die"", used in the same manner as ""kiasu"""
146,kiasu,"lit. ""to be scared to lose"""
147,kilat,"lit. ""shining"" (Malay), meaning ""excellent"", more commonly used in the millitary"
148,kong ka kiao,die
149,kopi,coffee
150,kopitiam,"lit. ""coffee shop"", referring to a food centre or food court in Singapore"
151,koyah,"to be torn, spoiled, or frayed (Malay)"
152,ku ku jiao,crude term referring to male genitalia 
153,lah,sentence-final particle 
154,lan jiao,crude term referring to male genitalia 
155,lao lan,"Arrogant, egoistic, pretentious"
156,lao pei huet,"lit. ""have a nosebleed"" (Hokkien), used as a reaction upon seeing a pretty girl"
157,lao sai,diarrhea
158,la sai,"lit. ""stirring shit"" (Hokkien), inciting trouble"
159,lagi,more
160,leh,sentence-final particle for emphasis
161,leh chey,to be troublesome or bothersome
162,lepak,to relax
163,liao,"""already"" or ""over"", generally indicating past tense"
164,liek boh kiew,"lit. ""catch no ball"" (Hokkien), meaning to be unable to understand"
165,liddat,"""like that"""
166,limbu,"lit. ""your mother"" (Hokkien), an arrogant female first-person pronoun "
167,limpeh,"lit. ""your father"" (Hokkien), an arrogant male first-person pronoun "
168,lobang,an opportunity or chance
169,lombang,to hitch a ride
170,long zhong,altogether
171,lor,sentence-final particle indicating what was said was obvious
172,luan,to be messy
173,lun zun,to be careless or clumsy
174,macam,"""like"" (Malay), to resemble something"
175,mafan,troublesome
176,mah,sentence-final particle to see agreement or argue a point
177,makan,to eat (Malay)
178,makcik,(Malay) an auntie or middle-aged woman
179,malu,(Malay) embarassing
180,mampat,"(Malay) Tight or firm, usually referring to a woman's posterior or clothing"
181,mang zang,to be irritable or easily annoyed
182,masak-masak,child's play
183,mati,to die (literal) or be doomed
184,mata,"the police, lit. ""eye"" in Malay"
185,meh,sentence-final particle
186,mong cha cha,to be unaware or unsure
187,mug,to cram or study for a test or exam
188,neh neh,a woman's chest or breasts
189,neh neh pok,nipples
190,ngeow,"someone overly meticulous, someone stingy"
191,nia,"""only"""
192,nia gong,"lit. ""your grandfather"" (Teochew)"
193,nia gong de ji dan,"lit. ""your grandfather's egg"" (Teochew)"
194,no eye see,cannot bear to look at
195,no horse run,"literal English translation of ""bo beh zao"""
196,nua,to laze around or rest
197,O$P$,"""owe money pay money"", commonly used in threats from loan sharks"
198,Obasan,"lit. ""auntie"" (Japanese), used to describe a sloppily dressed woman"
199,obiang,used to describe something out of fashion
200,orbi,"May be used as a single term or combined to form ""orbi quek"" or ""orbi good"", which means 'serves you right'"
201,ORD,"acronym for ""operationally ready date"", referring to when a National Serviceman (NSman) completes full-time national service"
202,ORD loh,exclamation used by an Nsman upon full-time service completion
203,orh,"""yes"", ""okay"", used to express affirmative"
204,orh hor,used to express when someone has done something wrong and will now be in trouble
205,oso,"""also"""
206,owadio,"corruption of ""ORD loh"" "
207,ownself,yourself
208,pai kia,hooligan or gangster
209,paiseh,to be embarassed
210,pak chiu cheng,to masturbate
211,pak zam,to describe something faulty or not usable
212,pak tor,to go on a date
213,pang chance,to give chance or go easy 
214,pang sai,to defecate
215,pang seh,to be stood up or cancelled on
216,pang jio,to urinate
217,pariah,used to describe something unsightly/disgusting
218,pasar malam,night market
219,photostat,to photocopy
220,pia,to work hard at something or rush
221,piak piak,to have sexual intercourse
222,pok kai,to go broke
223,pon,to play truant or be absent
224,pai tao,To make plans with your friends and decide to not show up
225,puki,(Malay) female genitalia
226,pundek,(Tamil) female genitalia
227,rabak,(Malay) a bad situation
228,rabz,"shortened form of ""rabak"""
229,rabz-kebabz,"a more trendy form of ""rabak"" or ""rabz"""
